Phase,Blue,Red,Score,Winner,Patch,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1,RP2,BP2,BP3,RP3,RB4,BB4,RB5,BB5,RP4,BP4,BP5,RP5,BR1,BR2,BR3,BR4,BR5,RR1,RR2,RR3,RR4,RR5,SB,VOD
LCS/2021 Season/Lock In/Picks and Bans/Individual Games,FlyQuest,Team Liquid,0 - 2,2,11.1,Twisted Fate,Pantheon,Camille,Taliyah,Aphelios,Olaf,Kai'Sa,Nidalee,Samira,Hecarim,Akali,Renekton,Gnar,Galio,Alistar,Leona,Rell,Janna,Gragas,Orianna,Bot,Jungle,Mid,Support,Top,Jungle,Bot,Top,Support,Mid,SB,https,//youtu.be/FMllXBImRYg?t=320
LCS/2021 Season/Lock In/Picks and Bans/Individual Games,Team Liquid,FlyQuest,1 - 0,1,11.1,Renekton,Camille,Lillia,Twisted Fate,Olaf,Pantheon,Taliyah,Seraphine,Udyr,Leona,Samira,Lucian,Viktor,Lulu,Akali,Alistar,Maokai,Kennen,Yone,Irelia,Jungle,Support,Bot,Top,Mid,Bot,Jungle,Mid,Support,Top,SB,https,//youtu.be/uPk8_m-MgMA?t=378
LCS/2021 Season/Lock In/Picks and Bans/Individual Games,Golden Guardians,Evil Geniuses.NA,0 - 2,2,11.1,Akali,Pantheon,Thresh,Olaf,Renekton,Taliyah,Kai'Sa,Graves,Gragas,Lillia,Twisted Fate,Jhin,Camille,Alistar,Gangplank,Syndra,Ryze,Rakan,Jayce,Seraphine,Bot,Jungle,Mid,Support,Top,Jungle,Top,Bot,Mid,Support,SB,https,//youtu.be/rIj5PuNWAcI?t=19
LCS/2021 Season/Lock In/Picks and Bans/Individual Games,Evil Geniuses.NA,Golden Guardians,1 - 0,1,11.1,Akali,Olaf,Twisted Fate,Pantheon,Camille,Taliyah,Nidalee,Aphelios,Thresh,Renekton,Jhin,Gangplank,Maokai,Graves,None,Lillia,Udyr,Syndra,Alistar,Orianna,Jungle,Top,Bot,Mid,Support,Bot,Support,Top,Jungle,Mid,SB,https,//youtu.be/tTNRRu-KbRY?t=756
LCS/2021 Season/Lock In/Picks and Bans/Individual Games,Cloud9,TSM,2 - 1,1,11.1,Renekton,Pantheon,Kai'Sa,Olaf,Jax,Taliyah,Camille,Jhin,Graves,Kindred,Galio,Gragas,Miss Fortune,Orianna,Aphelios,Maokai,Azir,Sivir,Alistar,Bard,Top,Jungle,Mid,Bot,Support,Bot,Jungle,Top,Mid,Support,SB,https,//youtu.be/yJl1Gn59CTc?t=117
LCS/2021 Season/Lock In/Picks and Bans/Individual Games,Cloud9,TSM,1 - 1,1,11.1,Camille,Pantheon,Renekton,Taliyah,Lulu,Olaf,Kai'Sa,Jhin,Nidalee,Hecarim,Gragas,Twisted Fate,Lucian,Galio,Jayce,Maokai,Gangplank,Alistar,Akali,Thresh,Bot,Jungle,Top,Support,Mid,Bot,Jungle,Mid,Top,Support,SB,https,//youtu.be/UiJAf4Q2SLQ?t=98
LCS/2021 Season/Lock In/Picks and Bans/Individual Games,Cloud9,TSM,0 - 1,2,11.1,Camille,Pantheon,Renekton,Olaf,Graves,Taliyah,Kai'Sa,Jhin,Nidalee,Hecarim,Twisted Fate,Lucian,Shen,Maokai,None,Thresh,Gragas,Aatrox,Nautilus,Galio,Bot,Jungle,Mid,Top,Support,Bot,Jungle,Mid,Top,Support,SB,https,//youtu.be/UW5FwlPMKaM?t=406
LCS/2021 Season/Lock In/Picks and Bans/Individual Games,Immortals,100 Thieves,0 - 2,2,11.1,Thresh,Taliyah,Renekton,Pantheon,Nidalee,Olaf,Camille,Twisted Fate,Graves,Lillia,Lucian,Kai'Sa,Galio,Gragas,Rell,Fiora,Jax,Jhin,Leona,Alistar,Top,Jungle,Mid,Bot,Support,Mid,Jungle,Bot,Top,Support,SB,https,//youtu.be/8KTzxt25bFY?t=47
LCS/2021 Season/Lock In/Picks and Bans/Individual Games,100 Thieves,Immortals,1 - 0,1,11.1,Graves,Olaf,Rell,Taliyah,Gragas,Pantheon,Twisted Fate,Seraphine,Hecarim,Nidalee,Renekton,Lucian,Kai'Sa,Gnar,Thresh,Shen,Leona,Xayah,Rakan,Karma,Mid,Jungle,Top,Bot,Support,Bot,Jungle,Mid,Support,Top,SB,https,//youtu.be/A9PP3-w36XM?t=702
LCS/2021 Season/Lock In/Picks and Bans/Individual Games,Immortals,FlyQuest,0 - 1,2,11.1,Hecarim,Pantheon,Camille,Taliyah,Aphelios,Olaf,Graves,Kai'Sa,Lillia,Jhin,Gragas,Gnar,Gangplank,Thresh,Karma,Seraphine,Leona,Syndra,Malphite,Akali,Jungle,Bot,Support,Mid,Top,Bot,Jungle,Top,Support,Mid,SB,https,//youtu.be/23FSBSSTWKc?t=117
