Phase,Blue,Red,Score,Winner,Patch,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1,RP2,BP2,BP3,RP3,RB4,BB4,RB5,BB5,RP4,BP4,BP5,RP5,BR1,BR2,BR3,BR4,BR5,RR1,RR2,RR3,RR4,RR5,SB,VOD
LPL/2021 Season/Spring Season/Picks and Bans/7-8,Team WE,Oh My God,1 - 1,1,11.5,Galio,Renekton,Twisted Fate,Orianna,Tristana,Kai'Sa,Hecarim,Alistar,Udyr,Thresh,Jinx,Varus,Azir,Aatrox,Cassiopeia,Gnar,Zoe,Ryze,Irelia,Jax,Jungle,Support,Bot,Mid,Top,Support,Jungle,Bot,Mid,Top,SB,https,//youtu.be/vize8yEW09k?t=7296
LPL/2021 Season/Spring Season/Picks and Bans/7-8,Team WE,Oh My God,0 - 1,2,11.5,Galio,Renekton,Twisted Fate,Orianna,Thresh,Azir,Tristana,Alistar,Hecarim,Udyr,Zoe,Kai'Sa,Gragas,Aatrox,Rell,Ryze,Gnar,Gangplank,Leona,LeBlanc,Bot,Jungle,Mid,Top,Support,Support,Jungle,Bot,Top,Mid,SB,https,//youtu.be/vize8yEW09k?t=4324
LPL/2021 Season/Spring Season/Picks and Bans/7-8,Suning,Rogue Warriors,2 - 0,1,11.3,Nidalee,Azir,Lillia,Camille,Renekton,Udyr,Kai'Sa,Gragas,Tristana,Rell,Gnar,Jayce,Orianna,Alistar,Skarner,Lucian,Hecarim,Karthus,Nocturne,Galio,Bot,Support,Top,Jungle,Mid,Support,Bot,Top,Jungle,Mid,SB,https,//youtu.be/EenXEkFxkHs?t=14190
LPL/2021 Season/Spring Season/Picks and Bans/7-8,Rogue Warriors,Suning,0 - 1,2,11.3,Azir,Nidalee,Camille,Lillia,Kai'Sa,Elise,Renekton,Udyr,Tristana,Taliyah,Alistar,Gnar,Lucian,Gragas,Jayce,Rell,Rakan,Ezreal,Twisted Fate,Orianna,Top,Jungle,Support,Bot,Mid,Jungle,Bot,Top,Support,Mid,SB,https,//youtu.be/EenXEkFxkHs?t=11432
LPL/2021 Season/Spring Season/Picks and Bans/7-8,Victory Five,Rare Atom,0 - 2,2,11.3,Azir,Udyr,Nidalee,Kai'Sa,Renekton,Seraphine,Zoe,Tristana,Hecarim,Olaf,Gnar,Orianna,Thresh,Jayce,Xayah,Rell,Gragas,Samira,Leona,Alistar,Mid,Jungle,Top,Bot,Support,Bot,Jungle,Mid,Top,Support,SB,https,//youtu.be/EenXEkFxkHs?t=7139
LPL/2021 Season/Spring Season/Picks and Bans/7-8,Rare Atom,Victory Five,1 - 0,1,11.3,Zoe,Azir,Seraphine,Udyr,Hecarim,Gnar,Kai'Sa,Lillia,Thresh,Nidalee,Renekton,Aphelios,Alistar,Lucian,Rell,Nocturne,Tristana,Gragas,Orianna,Sion,Bot,Jungle,Top,Support,Mid,Jungle,Support,Bot,Mid,Top,SB,https,//youtu.be/EenXEkFxkHs?t=4137
LPL/2021 Season/Spring Season/Picks and Bans/7-8,Bilibili Gaming,Top Esports,0 - 2,2,11.3,Orianna,Camille,Gragas,Lillia,Rell,Udyr,Hecarim,Thresh,Olaf,Jayce,Kai'Sa,Aphelios,Alistar,Wukong,Twisted Fate,Syndra,Sion,Zoe,Nautilus,Ryze,Jungle,Top,Bot,Mid,Support,Support,Jungle,Bot,Top,Mid,SB,https,//youtu.be/QrY53hcQoiQ?t=13789
LPL/2021 Season/Spring Season/Picks and Bans/7-8,Bilibili Gaming,Top Esports,0 - 1,2,11.3,Thresh,Camille,Gragas,Lillia,Alistar,Udyr,Rell,Tristana,Hecarim,Olaf,Kai'Sa,Orianna,Zoe,Sett,Jayce,Gnar,Leona,Renekton,Twisted Fate,Quinn,Support,Jungle,Bot,Top,Mid,Bot,Jungle,Mid,Support,Top,SB,https,//youtu.be/QrY53hcQoiQ?t=10753
LPL/2021 Season/Spring Season/Picks and Bans/7-8,LGD Gaming,FunPlus Phoenix,0 - 2,2,11.3,Nidalee,Thresh,Lillia,Renekton,Karthus,Gragas,Kai'Sa,Udyr,Tristana,Olaf,Rell,Alistar,Azir,Irelia,Camille,Viktor,Orianna,Seraphine,Jayce,Gnar,Bot,Jungle,Support,Mid,Top,Jungle,Bot,Support,Mid,Top,SB,https,//youtu.be/QrY53hcQoiQ?t=7512
LPL/2021 Season/Spring Season/Picks and Bans/7-8,FunPlus Phoenix,LGD Gaming,1 - 0,1,11.3,Thresh,Kai'Sa,Renekton,Lillia,Gragas,Nidalee,Tristana,Karthus,Rell,Udyr,Alistar,Lucian,Seraphine,Sion,Gnar,Camille,Aatrox,Jayce,Viktor,Zoe,Bot,Jungle,Support,Top,Mid,Jungle,Support,Bot,Top,Mid,SB,https,//youtu.be/QrY53hcQoiQ?t=5176
LPL/2021 Season/Spring Season/Picks and Bans/7-8,eStar (Chinese Team),Royal Never Give Up,0 - 2,2,11.3,Gragas,Kai'Sa,Lillia,Udyr,Gnar,Hecarim,Tristana,Renekton,Nidalee,Rumble,Thresh,Alistar,Olaf,Samira,Graves,Xayah,Jinx,Skarner,Jayce,Lucian,Bot,Mid,Support,Jungle,Top,Mid,Jungle,Support,Bot,Top,SB,https,//youtu.be/BXovoQnd-CU?t=14473
LPL/2021 Season/Spring Season/Picks and Bans/7-8,Royal Never Give Up,eStar (Chinese Team),1 - 0,1,11.3,Thresh,Gragas,Rumble,Lillia,Seraphine,Kai'Sa,Udyr,Tristana,Hecarim,Xayah,Gnar,Jayce,Orianna,Zoe,Corki,Twisted Fate,Azir,Alistar,Viktor,Rakan,Jungle,Bot,Top,Support,Mid,Bot,Jungle,Top,Mid,Support,SB,https,//youtu.be/BXovoQnd-CU?t=11628
LPL/2021 Season/Spring Season/Picks and Bans/7-8,Victory Five,JD Gaming,0 - 2,2,11.3,Twisted Fate,Seraphine,Azir,Zoe,Rell,Kai'Sa,Udyr,Tristana,Gragas,Gnar,Xayah,Camille,Rakan,Hecarim,Nautilus,Galio,Lillia,Alistar,Orianna,Lucian,Jungle,Top,Bot,Support,Mid,Bot,Support,Top,Jungle,Mid,SB,https,//youtu.be/BXovoQnd-CU?t=8174
LPL/2021 Season/Spring Season/Picks and Bans/7-8,Victory Five,JD Gaming,0 - 1,2,11.3,Twisted Fate,Seraphine,Azir,Kai'Sa,Rell,Zoe,Udyr,Tristana,Gragas,Xayah,Gnar,Hecarim,Rakan,Gangplank,Nautilus,Renekton,Viktor,Orianna,Leona,Lulu,Jungle,Bot,Top,Mid,Support,Bot,Support,Jungle,Mid,Top,SB,https,//youtu.be/BXovoQnd-CU?t=4461
LPL/2021 Season/Spring Season/Picks and Bans/7-8,Top Esports,Invictus Gaming,2 - 1,1,11.3,Rell,Kai'Sa,Renekton,Gragas,Azir,Udyr,Orianna,Kalista,Lillia,Hecarim,Tristana,Nautilus,Alistar,Twisted Fate,Leona,Gnar,Syndra,Jayce,Sett,Wukong,Mid,Jungle,Bot,Top,Support,Bot,Jungle,Support,Mid,Top,SB,https,//youtu.be/6-FDIJ18c_s?t=23835
LPL/2021 Season/Spring Season/Picks and Bans/7-8,Invictus Gaming,Top Esports,1 - 1,2,11.3,Gragas,Azir,Kai'Sa,Rell,Hecarim,Renekton,Udyr,Orianna,Olaf,Gnar,Kalista,Jayce,Twisted Fate,Xayah,Nautilus,Aphelios,Alistar,Thresh,Syndra,Tristana,Jungle,Top,Bot,Support,Mid,Mid,Jungle,Top,Support,Bot,SB,https,//youtu.be/6-FDIJ18c_s?t=21119
LPL/2021 Season/Spring Season/Picks and Bans/7-8,Top Esports,Invictus Gaming,0 - 1,2,11.3,Azir,Kai'Sa,Rell,Gragas,Gnar,Udyr,Hecarim,Kalista,Renekton,Aphelios,Thresh,Nidalee,Twisted Fate,Sett,Zoe,Lucian,Nautilus,Syndra,Malphite,Orianna,Jungle,Bot,Support,Mid,Top,Bot,Top,Jungle,Support,Mid,SB,https,//youtu.be/6-FDIJ18c_s?t=17996
LPL/2021 Season/Spring Season/Picks and Bans/7-8,ThunderTalk Gaming,Bilibili Gaming,0 - 2,2,11.3,Twisted Fate,Rell,Zoe,Azir,Camille,Renekton,Lillia,Kai'Sa,Hecarim,Samira,Gragas,Alistar,Gnar,Sylas,Teemo,Orianna,Viktor,Nocturne,Aatrox,Jayce,Jungle,Bot,Support,Mid,Top,Bot,Jungle,Support,Mid,Top,SB,https,//youtu.be/6-FDIJ18c_s?t=14237
LPL/2021 Season/Spring Season/Picks and Bans/7-8,ThunderTalk Gaming,Bilibili Gaming,0 - 1,2,11.3,Twisted Fate,Rell,Zoe,Azir,Udyr,Renekton,Kai'Sa,Alistar,Lillia,Gragas,Hecarim,Camille,Gnar,Samira,Gangplank,Tristana,Xayah,Orianna,Galio,Sylas,Bot,Top,Jungle,Mid,Support,Support,Jungle,Top,Bot,Mid,SB,https,//youtu.be/6-FDIJ18c_s?t=11408
LPL/2021 Season/Spring Season/Picks and Bans/7-8,Rogue Warriors,Oh My God,0 - 2,2,11.3,Rell,Lucian,Udyr,Renekton,Zoe,Lillia,Hecarim,Kai'Sa,Alistar,Tristana,Gragas,Skarner,Jayce,Gnar,Azir,Camille,Aatrox,Sylas,Nocturne,Galio,Jungle,Bot,Support,Mid,Top,Bot,Support,Jungle,Top,Mid,SB,https,//youtu.be/6-FDIJ18c_s?t=7318
LPL/2021 Season/Spring Season/Picks and Bans/7-8,Rogue Warriors,Oh My God,0 - 1,2,11.3,Rell,Lucian,Udyr,Renekton,Lillia,Nidalee,Hecarim,Kai'Sa,Alistar,Tristana,Gragas,Zoe,Twisted Fate,Gnar,Galio,Olaf,Skarner,Sion,Orianna,Aatrox,Jungle,Bot,Support,Top,Mid,Bot,Support,Mid,Jungle,Top,SB,https,//youtu.be/6-FDIJ18c_s?t=4337
LPL/2021 Season/Spring Season/Picks and Bans/7-8,Royal Never Give Up,EDward Gaming,2 - 1,1,11.3,Zoe,Kai'Sa,Seraphine,Udyr,Thresh,Renekton,Lillia,Gragas,Azir,Gnar,Tristana,Hecarim,Viktor,Samira,Alistar,Xayah,Rell,Nautilus,Corki,Kalista,Jungle,Top,Bot,Support,Mid,Top,Mid,Jungle,Support,Bot,SB,https,//youtu.be/L7DjRFrYRiA?t=27905
LPL/2021 Season/Spring Season/Picks and Bans/7-8,EDward Gaming,Royal Never Give Up,1 - 1,1,11.3,Tristana,Kai'Sa,Gnar,Zoe,Renekton,None,Udyr,Gragas,Hecarim,Thresh,Aphelios,Xayah,Aatrox,Alistar,Sion,Rell,Azir,Seraphine,Jayce,Rakan,Jungle,Support,Bot,Mid,Top,Top,Jungle,Bot,Mid,Support,SB,https,//youtu.be/L7DjRFrYRiA?t=24638
LPL/2021 Season/Spring Season/Picks and Bans/7-8,Royal Never Give Up,EDward Gaming,1 - 0,1,11.3,Zoe,Udyr,Seraphine,Kai'Sa,Renekton,Lillia,Gragas,Azir,Olaf,Xayah,Viktor,Gnar,Lucian,Thresh,Jayce,Samira,Kalista,Tristana,Hecarim,Rell,Support,Bot,Mid,Top,Jungle,Mid,Jungle,Top,Bot,Support,SB,https,//youtu.be/L7DjRFrYRiA?t=17475
LPL/2021 Season/Spring Season/Picks and Bans/7-8,FunPlus Phoenix,Rare Atom,1 - 2,2,11.3,Udyr,Kai'Sa,Azir,Nidalee,Alistar,Lillia,Rell,Tristana,Karthus,Hecarim,Lucian,Gragas,Gnar,Renekton,Seraphine,Camille,Orianna,Sion,Rumble,Aatrox,Support,Jungle,Bot,Top,Mid,Bot,Jungle,Support,Mid,Top,SB,https,//youtu.be/L7DjRFrYRiA?t=14723
LPL/2021 Season/Spring Season/Picks and Bans/7-8,Rare Atom,FunPlus Phoenix,1 - 1,2,11.3,Rell,Gragas,Nidalee,Udyr,Renekton,Kai'Sa,Lillia,Tristana,Karthus,Alistar,Samira,Nocturne,Lucian,Gnar,Sion,Rakan,Galio,Azir,Jayce,Irelia,Jungle,Support,Bot,Mid,Top,Bot,Jungle,Mid,Support,Top,SB,https,//youtu.be/L7DjRFrYRiA?t=21928
LPL/2021 Season/Spring Season/Picks and Bans/7-8,FunPlus Phoenix,Rare Atom,0 - 1,2,11.3,Azir,Kai'Sa,Udyr,Nidalee,Rell,Lillia,Tristana,Renekton,Karthus,Gnar,Alistar,Gragas,Hecarim,Lucian,Olaf,Kalista,Vayne,Kindred,Seraphine,Orianna,Bot,Top,Support,Jungle,Mid,Top,Jungle,Support,Bot,Mid,SB,https,//youtu.be/iJmNC8Hdrjo
LPL/2021 Season/Spring Season/Picks and Bans/7-8,LNG Esports,LGD Gaming,2 - 1,1,11.3,Zoe,Gnar,Olaf,Renekton,Azir,Lucian,Kai'Sa,Udyr,Orianna,Lillia,Gragas,Tristana,Sett,Rell,Camille,Aatrox,Nautilus,Alistar,Irelia,Jayce,Bot,Jungle,Top,Support,Mid,Jungle,Mid,Bot,Support,Top,SB,https,//youtu.be/L7DjRFrYRiA?t=10106
LPL/2021 Season/Spring Season/Picks and Bans/7-8,LGD Gaming,LNG Esports,1 - 1,1,11.3,Gnar,Zoe,Lucian,Kai'Sa,Olaf,Thresh,Renekton,Udyr,Tristana,Lillia,Azir,Gragas,Samira,Alistar,Xayah,Orianna,Syndra,Rell,Kalista,Janna,Top,Jungle,Mid,Support,Bot,Jungle,Bot,Top,Mid,Support,SB,https,//youtu.be/L7DjRFrYRiA?t=7121
LPL/2021 Season/Spring Season/Picks and Bans/7-8,LNG Esports,LGD Gaming,1 - 0,1,11.3,Zoe,Gnar,Olaf,Renekton,Azir,Thresh,Kai'Sa,Udyr,Gragas,Lillia,Lucian,Orianna,Aatrox,Tristana,Camille,Samira,Vayne,Rakan,Ornn,Alistar,Bot,Jungle,Mid,Support,Top,Jungle,Top,Mid,Bot,Support,SB,https,//youtu.be/L7DjRFrYRiA?t=4250
LPL/2021 Season/Spring Season/Picks and Bans/7-8,Suning,Victory Five,2 - 0,1,11.3,Zoe,Camille,Renekton,Gnar,Rell,Azir,Kai'Sa,Udyr,Thresh,Gragas,Olaf,Aphelios,Twisted Fate,Sion,Gangplank,Seraphine,Orianna,Viktor,Jayce,Malphite,Bot,Support,Jungle,Mid,Top,Jungle,Support,Bot,Mid,Top,SB,https,//youtu.be/ZVS73vZ2Aaw?t=14516
LPL/2021 Season/Spring Season/Picks and Bans/7-8,Suning,Victory Five,1 - 0,1,11.3,Zoe,Camille,Renekton,Kai'Sa,Rell,Udyr,Olaf,Tristana,Seraphine,Gnar,Azir,Graves,Samira,Sion,Thresh,Gragas,Alistar,Kalista,Galio,Jayce,Jungle,Top,Mid,Bot,Support,Bot,Mid,Jungle,Support,Top,SB,https,//youtu.be/ZVS73vZ2Aaw?t=11539
LPL/2021 Season/Spring Season/Picks and Bans/7-8,eStar (Chinese Team),JD Gaming,0 - 2,2,11.3,Gragas,Thresh,Azir,Kai'Sa,Twisted Fate,Olaf,Udyr,Tristana,Rell,Alistar,Gnar,Camille,Xayah,Galio,Kalista,Hecarim,Lillia,Orianna,Sivir,Lucian,Jungle,Support,Top,Mid,Bot,Bot,Support,Top,Jungle,Mid,SB,https,//youtu.be/ZVS73vZ2Aaw?t=7743
LPL/2021 Season/Spring Season/Picks and Bans/7-8,eStar (Chinese Team),JD Gaming,0 - 1,2,11.3,Gragas,Thresh,Azir,Kai'Sa,Rell,Olaf,Udyr,Tristana,Alistar,Xayah,Rakan,Gnar,Renekton,Lillia,Camille,Zoe,Twisted Fate,Sylas,Jayce,Hecarim,Jungle,Bot,Support,Mid,Top,Bot,Support,Top,Mid,Jungle,SB,https,//youtu.be/ZVS73vZ2Aaw?t=4374
LPL/2021 Season/Spring Season/Picks and Bans/7-8,Oh My God,Top Esports,0 - 2,2,11.3,Kalista,Udyr,Gragas,Camille,Lucian,Renekton,Rell,Aphelios,Thresh,Olaf,Seraphine,Nidalee,Samira,Syndra,Gnar,Tristana,Yone,Kai'Sa,Aatrox,Sion,Support,Jungle,Mid,Bot,Top,Bot,Support,Jungle,Mid,Top,SB,https,//youtu.be/GToOpfs5gXY?t=14211
LPL/2021 Season/Spring Season/Picks and Bans/7-8,Oh My God,Top Esports,0 - 1,2,11.3,Kalista,Udyr,Gragas,Camille,Lucian,Renekton,Rell,Tristana,Alistar,Kai'Sa,Lillia,Hecarim,Zoe,Syndra,Gnar,Vayne,Cassiopeia,Sion,Azir,Gangplank,Support,Bot,Jungle,Top,Mid,Bot,Support,Jungle,Mid,Top,SB,https,//youtu.be/GToOpfs5gXY?t=11584
LPL/2021 Season/Spring Season/Picks and Bans/7-8,Royal Never Give Up,LNG Esports,2 - 0,1,11.3,Zoe,Kai'Sa,Camille,Udyr,Seraphine,Gragas,Lillia,Alistar,Graves,Renekton,Tristana,Samira,Rakan,Azir,Lucian,Orianna,Viktor,Rell,Gnar,Irelia,Jungle,Mid,Bot,Support,Top,Support,Jungle,Bot,Mid,Top,SB,https,//youtu.be/GToOpfs5gXY?t=7865
LPL/2021 Season/Spring Season/Picks and Bans/7-8,Royal Never Give Up,LNG Esports,1 - 0,1,11.3,Zoe,Kai'Sa,Camille,Udyr,Seraphine,Gragas,Lillia,Gnar,Alistar,Tristana,Azir,Samira,Jayce,Hecarim,Rakan,Kayn,Graves,Rell,Lucian,Ryze,Jungle,Bot,Mid,Support,Top,Top,Support,Bot,Jungle,Mid,SB,https,//youtu.be/GToOpfs5gXY?t=4398
LPL/2021 Season/Spring Season/Picks and Bans/7-8,Team WE,LGD Gaming,2 - 0,1,11.3,Zoe,Samira,Olaf,Kai'Sa,Azir,Udyr,Renekton,Rell,Tristana,Taliyah,Alistar,Sion,Xayah,Twisted Fate,Aatrox,Orianna,Lillia,Jinx,Cassiopeia,Syndra,Mid,Jungle,Support,Bot,Top,Support,Bot,Top,Jungle,Mid,SB,https,//youtu.be/DiDYeCY-cd8?t=14662
LPL/2021 Season/Spring Season/Picks and Bans/7-8,LGD Gaming,Team WE,0 - 1,2,11.3,Samira,Olaf,Tristana,Zoe,Azir,Thresh,Kai'Sa,Orianna,Udyr,Dr. Mundo,Seraphine,Xayah,Gnar,Rell,Sion,Renekton,Gragas,Viktor,Camille,Aatrox,Bot,Jungle,Support,Mid,Top,Mid,Jungle,Bot,Support,Top,SB,https,//youtu.be/DiDYeCY-cd8?t=11748
LPL/2021 Season/Spring Season/Picks and Bans/7-8,Rare Atom,eStar (Chinese Team),2 - 0,1,11.3,Thresh,Nidalee,Rumble,Lucian,Rell,Zoe,Kai'Sa,Udyr,Azir,Lillia,Renekton,Xayah,Leona,Gnar,Gragas,Sion,Alistar,Rakan,Corki,Aatrox,Bot,Jungle,Top,Support,Mid,Jungle,Mid,Bot,Support,Top,SB,https,//youtu.be/DiDYeCY-cd8?t=7816
LPL/2021 Season/Spring Season/Picks and Bans/7-8,eStar (Chinese Team),Rare Atom,0 - 1,2,11.3,Nidalee,Udyr,Lillia,Kai'Sa,Samira,Thresh,Olaf,Rell,Tristana,Alistar,Azir,Kayn,Xayah,Zoe,Kalista,Syndra,Viktor,Gnar,Lucian,Jayce,Jungle,Support,Mid,Top,Bot,Support,Bot,Jungle,Mid,Top,SB,https,//youtu.be/DiDYeCY-cd8?t=4403
LPL/2021 Season/Spring Season/Picks and Bans/7-8,Bilibili Gaming,Invictus Gaming,0 - 2,2,11.3,Gnar,Camille,Rell,Kai'Sa,Aatrox,Renekton,Udyr,Azir,Olaf,Aphelios,Thresh,Kalista,Zoe,Alistar,Syndra,Nautilus,Leona,Ekko,Sion,Gragas,Jungle,Bot,Support,Mid,Top,Mid,Jungle,Bot,Support,Top,SB,https,//youtu.be/kR83FjjHbOU?t=14122
LPL/2021 Season/Spring Season/Picks and Bans/7-8,Bilibili Gaming,Invictus Gaming,0 - 1,2,11.3,Nidalee,Camille,Gnar,Kai'Sa,Thresh,Renekton,Udyr,Azir,Rell,Samira,Alistar,Olaf,Zoe,Tristana,Syndra,Xayah,Kalista,Sion,Ekko,Aatrox,Jungle,Bot,Support,Top,Mid,Mid,Support,Jungle,Bot,Top,SB,https,//youtu.be/kR83FjjHbOU?t=11289
LPL/2021 Season/Spring Season/Picks and Bans/7-8,ThunderTalk Gaming,Suning,0 - 2,2,11.3,Zoe,Renekton,Rell,Thresh,Camille,Nidalee,Azir,Kai'Sa,Udyr,Lillia,Gnar,Kassadin,Kalista,Jayce,Vayne,Irelia,Gangplank,Senna,Tahm Kench,Seraphine,Mid,Jungle,Top,Bot,Support,Bot,Jungle,Mid,Top,Support,SB,https,//youtu.be/kR83FjjHbOU?t=7980
LPL/2021 Season/Spring Season/Picks and Bans/7-8,Suning,ThunderTalk Gaming,1 - 0,1,11.3,Gnar,Twisted Fate,Nidalee,Azir,Renekton,Zoe,Kai'Sa,Olaf,Rell,Udyr,Gragas,Samira,Camille,Cassiopeia,Aatrox,Veigar,Sion,Orianna,Gangplank,Syndra,Bot,Jungle,Support,Mid,Top,Jungle,Support,Bot,Top,Mid,SB,https,//youtu.be/kR83FjjHbOU?t=4754
LPL/2021 Season/Spring Season/Picks and Bans/7-8,JD Gaming,FunPlus Phoenix,0 - 2,2,11.3,Samira,Azir,Nidalee,Gragas,Lillia,Udyr,Graves,Rell,Kai'Sa,Aphelios,Thresh,Karthus,Sion,Kled,Ornn,Renekton,Gnar,Aatrox,Syndra,Nocturne,Jungle,Bot,Support,Top,Mid,Support,Bot,Jungle,Top,Mid,SB,https,//youtu.be/AVoQXawxWk4?t=14254
LPL/2021 Season/Spring Season/Picks and Bans/7-8,FunPlus Phoenix,JD Gaming,1 - 0,1,11.3,Azir,Samira,Gragas,Kai'Sa,Udyr,Nidalee,Lillia,Renekton,Zoe,Rell,Tristana,Xayah,Jayce,Alistar,Lucian,Olaf,Sett,Gnar,Kled,Kayn,Jungle,Support,Bot,Top,Mid,Top,Mid,Bot,Support,Jungle,SB,https,//youtu.be/AVoQXawxWk4?t=11472
LPL/2021 Season/Spring Season/Picks and Bans/7-8,Rogue Warriors,EDward Gaming,0 - 2,2,11.3,Kai'Sa,Nidalee,Olaf,Graves,Udyr,Lillia,Renekton,Rell,Taliyah,Alistar,Karthus,Samira,Tristana,Zoe,Kalista,Azir,Gnar,Ezreal,Lucian,Ryze,Top,Support,Jungle,Bot,Mid,Support,Jungle,Bot,Top,Mid,SB,https,//youtu.be/AVoQXawxWk4?t=7249
LPL/2021 Season/Spring Season/Picks and Bans/7-8,Rogue Warriors,EDward Gaming,0 - 1,2,11.3,Alistar,Nidalee,Rell,Graves,Renekton,Twisted Fate,Kai'Sa,Udyr,Thresh,Lillia,Seraphine,Aphelios,Lucian,Camille,Jayce,Azir,Orianna,Gnar,Yone,Gangplank,Bot,Jungle,Support,Top,Mid,Jungle,Support,Bot,Mid,Top,SB,https,//youtu.be/AVoQXawxWk4?t=4397
LPL/2021 Season/Spring Season/Picks and Bans/5-6,Invictus Gaming,Suning,0 - 2,2,11.3,Camille,Gnar,Twisted Fate,Nidalee,Gragas,Kai'Sa,Udyr,Rell,Olaf,Thresh,Aphelios,Azir,Zoe,Kalista,Syndra,Tristana,Samira,Sion,Viktor,Jayce,Jungle,Support,Bot,Top,Mid,Support,Jungle,Mid,Bot,Top,SB,https,//youtu.be/-GhwC9H0JOY?t=24361
LPL/2021 Season/Spring Season/Picks and Bans/5-6,Suning,Invictus Gaming,1 - 0,1,11.3,Gnar,Camille,Nidalee,Twisted Fate,Aphelios,Udyr,Kai'Sa,Rell,Lillia,Azir,Gragas,Samira,Olaf,Jayce,Kayn,Quinn,Viktor,Renekton,Alistar,Sion,Bot,Mid,Jungle,Top,Support,Support,Jungle,Bot,Mid,Top,SB,https,//youtu.be/-GhwC9H0JOY?t=21557
LPL/2021 Season/Spring Season/Picks and Bans/5-6,Rare Atom,Oh My God,2 - 1,1,11.3,Renekton,Lillia,Rell,Udyr,Kayn,Nidalee,Kai'Sa,Olaf,Tristana,Azir,Graves,Zoe,Sion,Camille,Gragas,Alistar,Gnar,Leona,Jayce,Thresh,Bot,Mid,Jungle,Support,Top,Jungle,Bot,Mid,Top,Support,SB,https,//youtu.be/-GhwC9H0JOY?t=17822
LPL/2021 Season/Spring Season/Picks and Bans/5-6,Oh My God,Rare Atom,1 - 1,1,11.3,Lillia,Udyr,Azir,Kai'Sa,Samira,Renekton,Rell,Nidalee,Zoe,Tristana,Galio,Alistar,Camille,Xayah,Olaf,Vayne,Gnar,Sion,Kayn,Ezreal,Support,Bot,Mid,Top,Jungle,Jungle,Mid,Support,Top,Bot,SB,https,//youtu.be/-GhwC9H0JOY?t=14203
LPL/2021 Season/Spring Season/Picks and Bans/5-6,Rare Atom,Oh My God,1 - 0,1,11.3,Twisted Fate,Lillia,Rell,Udyr,Renekton,Zoe,Kai'Sa,Olaf,Gragas,Nidalee,Lucian,Syndra,Sett,Xayah,Gnar,Samira,Sivir,Alistar,Sion,Aatrox,Bot,Jungle,Mid,Support,Top,Jungle,Support,Mid,Bot,Top,SB,https,//youtu.be/-GhwC9H0JOY?t=11064
LPL/2021 Season/Spring Season/Picks and Bans/5-6,Victory Five,LNG Esports,0 - 2,2,11.3,Alistar,Zoe,Gnar,Lillia,Nidalee,Kai'Sa,Udyr,Seraphine,Renekton,Samira,Rell,Olaf,Sion,Tristana,Gragas,Thresh,Rakan,Volibear,Azir,Xayah,Jungle,Bot,Support,Top,Mid,Mid,Top,Jungle,Support,Bot,SB,https,//youtu.be/-GhwC9H0JOY?t=7384
LPL/2021 Season/Spring Season/Picks and Bans/5-6,Victory Five,LNG Esports,0 - 1,2,11.3,Olaf,Zoe,Alistar,Lillia,Nidalee,Udyr,Seraphine,Graves,Gnar,Kai'Sa,Kayn,Samira,Gangplank,Twisted Fate,Gragas,Rell,Leona,Camille,Shen,Azir,Mid,Bot,Jungle,Top,Support,Jungle,Top,Bot,Support,Mid,SB,https,//youtu.be/-GhwC9H0JOY?t=4402
LPL/2021 Season/Spring Season/Picks and Bans/5-6,Royal Never Give Up,FunPlus Phoenix,2 - 0,1,11.3,Seraphine,Udyr,Nidalee,Olaf,Lillia,Gragas,Kai'Sa,Rell,Renekton,Graves,Alistar,Samira,Gnar,Karthus,Azir,Gangplank,Hecarim,Sion,Orianna,Viktor,Bot,Jungle,Support,Top,Mid,Support,Top,Bot,Jungle,Mid,SB,https,//youtu.be/0latAebDMO0?t=24369
LPL/2021 Season/Spring Season/Picks and Bans/5-6,Royal Never Give Up,FunPlus Phoenix,1 - 0,1,11.3,Nidalee,Udyr,Seraphine,Olaf,Hecarim,Gragas,Kai'Sa,Rell,Lillia,Graves,Alistar,Samira,Camille,Renekton,Sylas,Kled,Sion,Azir,Gnar,Jayce,Bot,Jungle,Support,Mid,Top,Support,Jungle,Bot,Mid,Top,SB,https,//youtu.be/0latAebDMO0?t=20747
LPL/2021 Season/Spring Season/Picks and Bans/5-6,Top Esports,eStar (Chinese Team),2 - 0,1,11.3,Renekton,Kai'Sa,Twisted Fate,Udyr,Olaf,Samira,Gragas,Thresh,Aphelios,Kalista,Lucian,Lillia,Rell,Sion,Alistar,Irelia,Sett,Nautilus,Skarner,Gnar,Mid,Bot,Top,Support,Jungle,Support,Bot,Jungle,Mid,Top,SB,https,//youtu.be/0latAebDMO0?t=17187
LPL/2021 Season/Spring Season/Picks and Bans/5-6,eStar (Chinese Team),Top Esports,0 - 1,2,11.3,Samira,Udyr,Rell,Twisted Fate,Aphelios,Renekton,Kai'Sa,Gragas,Olaf,Seraphine,Hecarim,Tristana,Sion,Zoe,Gnar,Alistar,Sylas,Camille,Thresh,Jax,Bot,Mid,Jungle,Top,Support,Support,Jungle,Bot,Mid,Top,SB,https,//youtu.be/0latAebDMO0?t=14651
